Task Name,Group / Phase,Workstream,Assignee,Start Date,End Date,Timeline,Status,Priority,Description
Horizon Capital Second-Round Meeting & Technical Demo,Pre-Funding Pitching,Finance & Fundraising,"Daniel Roche, Daniel Blokh",2026-05-25,2026-05-25,2026-05-25 -> 2026-05-25,Working on it,Critical,Execute technical deep-dive and AST ingestion demo for Horizon Capital partners (14:00 - 15:00 GMT+3).
Horizon Capital Post-Meeting Diligence Follow-Up,Pre-Funding Pitching,Finance & Fundraising,Daniel Roche,2026-05-25,2026-05-26,2026-05-25 -> 2026-05-26,Not Started,High,"Send follow-up materials, updated deck, forwardable blurb, and portfolio targets to Tom and Yaniv."
Write GM and Senior Developer Job Descriptions,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),HR & Recruiting,"Daniel Roche, Daniel Blokh",2026-06-15,2026-06-20,2026-06-15 -> 2026-06-20,Not Started,High,"Draft roles, requirements, evaluation rubrics, and salary benchmarks for the GM and Senior Developer."
Configure Recruiting Channels & Post Job Openings,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),HR & Recruiting,"Daniel Roche, Daniel Blokh",2026-06-18,2026-06-23,2026-06-18 -> 2026-06-23,Not Started,Medium,"Setup posting on LinkedIn, Wellfound (AngelList), and coordinate network referrals."
Candidate Sourcing & Initial Phone Screenings,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),HR & Recruiting,"Daniel Roche, Daniel Blokh",2026-06-22,2026-07-02,2026-06-22 -> 2026-07-02,Not Started,High,"Filter resumes, search outbound profiles on LinkedIn, and conduct initial 30-min screening calls."
Administer GM Case Studies & Technical Coding Challenges,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),HR & Recruiting,"Daniel Roche, Daniel Blokh",2026-07-01,2026-07-08,2026-07-01 -> 2026-07-08,Not Started,High,Send tech assignment to shortlisted developers and operations casing exercises to GM candidates.
Conduct Final Interviews & Reference Checks,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),HR & Recruiting,"Daniel Roche, Daniel Blokh",2026-07-08,2026-07-12,2026-07-08 -> 2026-07-12,Not Started,High,Conduct final culture-fit interviews and call references for top GM and Developer candidates.
Issue Offer Letters & Sign Employment Contracts,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),HR & Recruiting,"Daniel Roche, Daniel Blokh",2026-07-12,2026-07-15,2026-07-12 -> 2026-07-15,Not Started,Critical,"Prepare written offer packages, finalize equity SAFE allocations, and execute legal contracts."
New Hire IT Setup & Access Provisioning,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Operations & Hires,"Daniel Roche, Daniel Blokh",2026-07-15,2026-07-18,2026-07-15 -> 2026-07-18,Not Started,Medium,"Provision Slack, GitHub, Notion, Zoom, and Google Workspace accounts for GM and Dev 1."
Conduct First-Week Team Onboarding Walkthroughs,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Operations & Hires,"Daniel Roche, Daniel Blokh",2026-07-18,2026-07-22,2026-07-18 -> 2026-07-22,Not Started,Medium,Introduce codebase architecture to Dev 1 and GTM pipelines/internal operational routines to GM.
Select Tour Dates & Book Flights and Accommodations,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Operations & Hires,Daniel Roche,2026-06-15,2026-06-30,2026-06-15 -> 2026-06-30,Not Started,High,Secure flight tickets and hotel bookings in Silicon Valley/SF (August 1-10) and NYC (August 11-20).
Extract US Sales Tour Prospects from Discovery Lists,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Sales & GTM,Daniel Roche,2026-06-25,2026-07-05,2026-06-25 -> 2026-07-05,Not Started,Medium,Sift through the 45 active discoveries to isolate US-based DevOps contacts for in-person meetings.
Send Meetup Invites & Schedule Tour Calendly Slots,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Sales & GTM,Daniel Roche,2026-07-01,2026-07-20,2026-07-01 -> 2026-07-20,Not Started,High,Send personalized email pitches proposing face-to-face meetings during the US trip dates.
Build Trip Calendar & Optimize Travel Route Geography,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Operations & Hires,Daniel Roche,2026-07-15,2026-07-25,2026-07-15 -> 2026-07-25,Not Started,Medium,Plot meeting coordinates on Google Maps to construct an efficient daily travel schedule.
Draft Custom Presentation Slides & Prep Offline Demo,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Sales & GTM,"Daniel Roche, Daniel Blokh",2026-07-20,2026-07-30,2026-07-20 -> 2026-07-30,Not Started,High,Customize slide decks for key clients and build stable local demos to run if internet connection drops.
"Build Sales Collateral, Website & Demo Video",Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Sales & GTM,Daniel Roche,2026-06-20,2026-07-15,2026-06-20 -> 2026-07-15,Not Started,Medium,"Design high-end landing page, sales deck materials, and a high-fidelity video showcasing Yono V2."
Write Technical Specification for Yono Lite Parser,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-06-15,2026-06-20,2026-06-15 -> 2026-06-20,Not Started,High,"Document AST parsing architecture, node mapping guidelines, and zero-retention parameters."
Configure GitHub Repos & Branch Protection Rules,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-06-18,2026-06-22,2026-06-18 -> 2026-06-22,Not Started,Medium,"Set up workspace repositories, branch protection policies, and initialize main CI lint check actions."
Yono Lite Data Layer Implementation,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-06-22,2026-07-05,2026-06-22 -> 2026-07-05,Not Started,Critical,Finalize core AST parsing data layer structure for reliable front-end codebase ingestion.
Documentation Agent Development,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-06-28,2026-07-05,2026-06-28 -> 2026-07-05,Not Started,High,Build core documentation parsing agent utilizing AST nodes to ingest and index context.
Action Navigation Agent,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-07-02,2026-07-07,2026-07-02 -> 2026-07-07,Not Started,Medium,"Develop frontend layout mapping agent that handles menu, routes, and layout tracking."
Co-Pilot A2UI Migration Integration,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-07-05,2026-07-15,2026-07-05 -> 2026-07-15,Not Started,High,Integrate human-in-the-loop migration engine with Co-Pilot kit frameworks.
Action Workflow Agent Development,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,"Daniel Blokh, Senior Dev",2026-07-06,2026-07-12,2026-07-06 -> 2026-07-12,Not Started,High,Implement core workflow execution agent mapping codebase actions to natural language.
User Story Agent (UI & Actions Combined),Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,"Daniel Blokh, Senior Dev",2026-07-12,2026-07-16,2026-07-12 -> 2026-07-16,Not Started,Medium,Develop agent that auto-generates UI components based on business user stories and actions.
Okteto Demo Integration & Verification,Phase 1: GTM Prep & Product (M1-M2 | Jun 15 - Jul 31),Product & Tech,Daniel Blokh,2026-07-16,2026-07-18,2026-07-16 -> 2026-07-18,Not Started,Medium,Deploy demo integration with Okteto for testing frontend code AST parser accuracy.
