Firm Name,Check Profile: (Lead [$2M+] / Micro-fund [$1M SAFE]),Prestige Score (1-10),Relevance Score (1-10),Weighted FIT Score (1-100),Key GP/Partner,Recent Evidence,Fit Rationale
TLV Partners,Lead [$2M+],10,10,100,Rona Segev / Eitan Bek,Backed Pinecone and Run:ai; highly active in 2025/2026 GenAI dev tooling.,"Deeply understands developer friction, making them instantly grasp Yono's ROI against internal DIY builds."
NFX Israel,Lead [$2M+],10,10,100,Gigi Levy-Weiss,Heavy investments in API-first AI agents and developer networks.,Their thesis on developer velocity perfectly aligns with Yono's API/agentic UI integration speed.
Team8,Lead [$2M+],9,10,97,Liran Grinberg,Launched stealth AI enterprise infra companies in 2025.,"Known for enterprise DevOps, they recognize the massive cost centers internal teams become when building UI agents."
Hetz Ventures,Lead [$2M+],8,10,94,Judah Taub,Invested in prompt security and GenAI data pipelines.,"Aggressively targets developer tools, perfectly matching a platform that converts click-based UI to GenAI."
Secret Chord Ventures,Micro-fund [$1M SAFE],8,10,94,Omri Krigel,Funded Matia and B2B SaaS productivity layers in early 2026.,"High momentum fund explicitly hunting for highly technical, category-defining B2B software architectures."
Skywell Capital Partners,Lead [$2M+],8,10,94,Yoni Bloch / Boris,Backed hyper-automation platforms like Swish.ai and AI compliance (Sedric).,Operator-first methodology that loves the SaaS unit economics resulting from embedded agentic automation.
Lightspeed Israel,Lead [$2M+],10,9,93,Yoni Cheifetz,Led massive rounds in foundation models and AI middleware.,Seeking the platform-layer infrastructure that becomes the industry standard for SaaS agentification.
Aleph,Lead [$2M+],10,9,93,Eden Shochat,Pivoting portfolio heavily towards GenAI workflows and agent-first platforms.,Loves ambitious infrastructure that disrupts legacy software paradigms and eliminates internal engineering waste.
Bessemer (Israel),Lead [$2M+],10,9,93,Amit Karp,Aggressively funding AI infra globally; the local office hunts for Israeli equivalents.,Deep pockets and global GTM networks for enterprise infrastructure plays.
Entrée Capital,Lead [$2M+],10,9,93,Avi Eyal,Historic backers of monday.com; heavy focus on AI application layers.,Their B2B SaaS DNA gives you an immediate common language regarding UI and workflow friction.
91 Ventures (91VC),Micro-fund [$1M SAFE],7,10,91,Managing Partner,"The ""Outlier's Fund"" backing AI/ML infrastructure before trends peak.",They explicitly back deep technical founders moving faster than legacy SaaS incumbents.
Glilot Capital,Lead [$2M+],9,9,90,Kobi Samboursky,Backed multiple AI DevSecOps and cloud automation platforms.,Their strong enterprise GTM network can connect Yono with legacy SaaS buyers needing an AI facelift.
Vertex Israel,Lead [$2M+],9,9,90,Yanai Oron,Seeded AI enablement and cloud automation platforms in early 2025.,Understands complex SaaS infrastructure and the financial value of outsourcing agentic UI.
F2 Venture Capital,Lead [$2M+],9,9,90,Jonathan Saacks,Dedicated 2025 seed checks into B2B SaaS integrating native AI agents.,"Specializes in B2B SaaS evolution, directly aligning with your mission to upgrade legacy platforms."
Angular Ventures,Lead [$2M+],9,9,90,Gil Dibner,Deep-tech and enterprise focus; heavily focused on API-first and developer platforms.,They index highly on deeply integrated enterprise solutions that bypass traditional UIs.
Emerge,Lead [$2M+],8,9,87,Dudi Pereg,Focus shifted sharply to LLM orchestration and workflow automation.,Their ML orchestration focus means they understand the technical complexity Yono abstracts away.
Amiti Ventures,Lead [$2M+],8,9,87,Ben Rabinowitz,Transitioned from AI hardware to targeting LLM infrastructure bottlenecks.,Appreciates highly technical infrastructure that solves fundamental workflow bottlenecks.
Pitango First,Lead [$2M+],10,8,86,Yair Casspi,Seeded AI21 Labs; actively funding deep-tech enterprise AI transformation.,Hunts for infrastructure that accelerates enterprise digital transformation without the heavy R&D lift.
Viola Ventures,Lead [$2M+],10,8,86,Zvika Orron,Deployed capital into enterprise SaaS companies adding generative layers.,Deep SaaS go-to-market expertise to help position Yono against enterprise internal build options.
Battery Ventures,Lead [$2M+],10,8,86,Scott Tobin,Backed AI hacking agents and high-scale GenAI tooling.,"Proven willingness to aggressively price Seed rounds for elite, highly-scalable AI agent platforms."
Remagine Ventures,Micro-fund [$1M SAFE],7,9,84,Eze Vidra,Highly active with deals focused on automated media/digital interfaces.,Their focus on interactive interfaces translates exceptionally well to Yono's natural language UI thesis.
Grove Ventures,Lead [$2M+],9,8,83,Lotan Levkowitz,Shifted significant capital toward edge AI and compute optimization tools.,They understand the complex backend required to make agentic workflows operate efficiently.
Square Peg (Israel),Lead [$2M+],9,8,83,Yonatan Sela,Funded several SaaS platforms integrating embedded GenAI in late 2024.,Backs strong operators tackling large TAMs in the SaaS space with clear technological wedges.
StageOne Ventures,Lead [$2M+],8,8,80,Tal Slobodkin,Dedicated to early-stage enterprise software and infrastructure.,"Bread-and-butter B2B enterprise investors who grasp the ""build vs. buy"" problem instinctively."
